day	story_id	games	tips (id de texts)	dificultad	Aclaraciones	Cosas que Faltan
1	animales_de_dany	escuchar	intro_animales_granja		poner imagen	https://drive.google.com/drive/folders/1DmX0vbwQ5966CPQyqSIEZRQfDRH1Gc8D
		questions	tip_conversar			
		read_automatic	tip_read_automatic			
		questions	tip_questions			
		memotest	tip_memotest			
2	animales_de_dany:2	questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		repeat_with_card	tip_repeat_with_card			
		elegir_frase	tip_escucha_toca			
		labyrinth	laberinto_dany_animales			
3	animales_de_dany:3	escuchar	intro_animales_granja		no aparece imagen	
		questions	tip_escucha			
		memotest	tip_memotest			
		escuchar	tip_escucha_cancion		no imprime titulo	
4	animales_de_dany:4	questions	tip_escucha			
		repeat_with_card	tip_repeat_with_card			
		elegir_frase	tip_escucha_toca			
		escuchar	tip_escucha_cancion			
5	animales_de_dany:5	read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		memotest	tip_memotest			
		questions	tip_escucha			
		falling_objects	toca_animales_dany			
6	animales_de_dany:6	read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		ordenar	tip_ordenar_cuento			
		questions	mira_imagenes			
		memotest	tip_memotest			
7	animales_de_dany:7	questions	tip_escucha			
		repeat_with_card	escuchar_repetir_colores			
		elegir_frase	tip_escucha_toca			
		escuchar	tip_escucha_cancion			
8	animales_de_dany:8	read_automatic	tip_read_automatic			
		questions	tip_questions			
		questions	tip_questions			
		questions	tip_questions			
		elegir_frase	tip_parte_cuento			
		memotest	tip_memotest			
		painting	painting_animales_dany			
9	animales_de_dany:9	objeto_diferente	toca_animal_diferente			
		repeat_with_card	escuchar_repetir_colores			
		elegir_frase	tip_escucha_toca			
		escuchar	tip_escucha_cancion			
10	animales_de_dany:10	ordenar	tip_ordenar_cuento			
		memotest	tip_memotest			
		questions	tip_conversar			
		unir	uni_gallinas_color			
1	rulitos	escuchar	intro_animales_monte			
		questions	tip_conversar			
