story_id	name	folder	audioClip	texts	duration	display 0=Full 1=solo audio 2= solo texto		character
que_susto	¡Qué Susto!	que_susto	easy	Había una vez un elefante que caminaba distraído	0:06	1		Mujer
				... y asustó a un oso.	0:09			
				El oso salió corriendo y se cayó en el agua arriba de un yacaré dormido.	0:15			
				El yacaré se despertó y con un bostezo lleno de dientes asustó a una serpiente.	0:23			
				La serpiente se deslizó entre los arbustos. Un perro la vio, pensó que lo iba a morder y se escapó veloz.	0:31			
				El perro se cruzó en el camino de un gato, que de un salto se trepó al techo de una casa.	0:38			
				Sobre el techo comían queso dos ratoncitos._- ¡Se arruinó el almuerzo! ¡Huyamos! Los ratoncitos cayeron sobre la trompa del elefante que tomaba agua del río.	0:50			
				El elefante atemorizado escupió un chorro de agua que hizo bailar a los ratoncitos.				
que_susto:2	¡Qué Susto!	que_susto	easy	Había una vez un elefante que caminaba distraído	0:06	0		Mujer
				... y asustó a un oso.	0:09			
				El oso salió corriendo y se cayó en el agua arriba de un yacaré dormido.	0:15			
				El yacaré se despertó y con un bostezo lleno de dientes asustó a una serpiente.	0:23			
				La serpiente se deslizó entre los arbustos. Un perro la vio, pensó que lo iba a morder y se escapó veloz.	0:31			
				El perro se cruzó en el camino de un gato, que de un salto se trepó al techo de una casa.	0:38			
				Sobre el techo comían queso dos ratoncitos._- ¡Se arruinó el almuerzo! ¡Huyamos! Los ratoncitos cayeron sobre la trompa del elefante que tomaba agua del río.	0:50			
				El elefante atemorizado escupió un chorro de agua que hizo bailar a los ratoncitos.				
que_susto:3	¡Qué Susto!	que_susto	easy	Había una vez un elefante que caminaba distraído	0:06	0		Mujer
				... y asustó a un oso.	0:09			
				El oso salió corriendo y se cayó en el agua arriba de un yacaré dormido.	0:15			
				El yacaré se despertó y con un bostezo lleno de dientes asustó a una serpiente.	0:23			
				La serpiente se deslizó entre los arbustos. Un perro la vio, pensó que lo iba a morder y se escapó veloz.	0:31			
				El perro se cruzó en el camino de un gato, que de un salto se trepó al techo de una casa.	0:38			
				Sobre el techo comían queso dos ratoncitos._- ¡Se arruinó el almuerzo! ¡Huyamos! Los ratoncitos cayeron sobre la trompa del elefante que tomaba agua del río.	0:50			
				El elefante atemorizado escupió un chorro de agua que hizo bailar a los ratoncitos.				
que_susto:4	¡Qué Susto!	que_susto	easy	Había una vez un elefante que caminaba distraído	0:06	0		Mujer
				... y asustó a un oso.	0:09			
				El oso salió corriendo y se cayó en el agua arriba de un yacaré dormido.	0:15			
				El yacaré se despertó y con un bostezo lleno de dientes asustó a una serpiente.	0:23			
				La serpiente se deslizó entre los arbustos. Un perro la vio, pensó que lo iba a morder y se escapó veloz.	0:31			
				El perro se cruzó en el camino de un gato, que de un salto se trepó al techo de una casa.	0:38			
				Sobre el techo comían queso dos ratoncitos._- ¡Se arruinó el almuerzo! ¡Huyamos! Los ratoncitos cayeron sobre la trompa del elefante que tomaba agua del río.	0:50			
				El elefante atemorizado escupió un chorro de agua que hizo bailar a los ratoncitos.				
que_susto:5	¡Qué Susto!	que_susto	easy	vacio	0:06	0		Mujer
malevo	Malevo busca un hueso	malevo	easy	Malevo era un perro callejero negro con manchas blancas. Vivía en la plaza y jugaba con todos los chicos, pero ninguno era su dueño.	0:13	1		Mujer
				Un día, el carnicero le regaló a Malevo un enorme hueso con carne. Después de comer toda la carne del hueso, Malevo decidió esconderlo en un lugar secreto. 	0:26			
