/generic_texts/(.... wav)	character	text	
ayuda_familia_maestra	Mujer	¡Tu familia o tu maestra te ayuda a hacer los ejercicios! 	Ayuda
cancion_genioBotella	Oscarcito	La mar estaba serena, serena estaba la mar, La mar estaba serana. Serena estaba la mar. 	
rima_malevo	Mujer	El perro travieso no quiere queso porque le gusta el hueso.	
rima_malevo_oscarcito_1	Oscarcito	travieso	
rima_malevo_oscarcito_2	Oscarcito	queso	
rima_malevo_oscarcito_3	Oscarcito	hueso	
rima_malevo_2	Mujer	El perro huele al pato con su hocico El pato ataca al perro con sus alas y su pico	
rima_malevo_oscarcito_4	Oscarcito	hocico	
rima_malevo_oscarcito_5	Oscarcito	pico	
rima_malevo_3	Mujer	A mi perro Malevo no le gusta el huevo, quiere queso y un hueso y también pide un beso	
rima_malevo_oscarcito_6	Oscarcito	hueso	
rima_malevo_oscarcito_7	Oscarcito	beso	
rima_zorro_gallina	Mujer	Mi amiga la gallina, No vuela, camina. Le encanta comer de todo, Y quedar redonda como un globo.”	
rima_zorro_gallina_oscarcito_1	Oscarcito	gallina	
rima_zorro_gallina_oscarcito_2	Oscarcito	camina	
rima_zorro_gallina_oscarcito_3	Oscarcito	todo	
rima_zorro_gallina_oscarcito_4	Oscarcito	globo	
rima_zorro_gallina_oscarcito_5	Oscarcito	rana	
rima_zorro_gallina_oscarcito_6	Oscarcito	agua	
rima_caperucita	Mujer	Un día Caperucita visitaba a su abuelita el lobo hambriento se adelantó y de la abuela se disfrazó	
rima_caperucita_oscarcito_1	Oscarcito	abuelita	
rima_caperucita_oscarcito_2	Oscarcito	disfrazó	
rima_zapallo_gigante	Mujer	Zapallo, zapallo Para el caballo Maíz, maíz Para la lombriz	
rima_zapallo_gigante_oscarcito_1	Oscarcito	panza	
rima_zapallo_gigante_oscarcito_2	Oscarcito	barata	
rima_zapallo_gigante_oscarcito_3	Oscarcito	caballo	
rima_zapallo_gigante_oscarcito_4	Oscarcito	lombriz	
rima_bichos_bolita	Mujer	Este bicho es un bicho bolita Se enrosca y rueda como una pelotita	
rima_bichos_bolita_oscarcito_1	Oscarcito	bolita	
