/generic_texts/(.... wav)	character	text	
ayuda_familia_maestra	Mujer	Aprendemos español. Tu familia o tu maestra te ayuda.	Ayuda
rima_animales_dany	Mujer	El pollito Lito le dice al perrito: pío pío pío, tengo mucho frío	Rimas
rima_rulitos	Mujer	Un osito muy chiquitito es amigo del pollito.	
rima_rulitos_Nasheli_1	Nasheli	pollito	
rima_rulitos_2	Mujer	El gato es amigo del pato y el gallo es amigo del caballo	
rima_rulitos_Nasheli_2	Nasheli	pato	
rima_rulitos_Nasheli_3	Nasheli	caballo	
rima_integracion_1	Mujer	El gallo y el caballo corren atrás de un zapallo, mientras el gato y el pato comen del mismo plato	
rima_integracion_Nasheli_1	Nasheli	zapallo	
rima_integracion_Nasheli_2	Nasheli	plato	
rima_dany_amigos_1	Mujer	Mi perro Simón juega con el camión y mi perra Carlota juega con la pelota	
rima_dany_amigos_Nasheli_1	Nasheli	camión	
rima_dany_amigos_Nasheli_2	Nasheli	pelota	
rima_dany_amigos_2	Mujer	La vaca que juega en la hamaca tiene cola y se llama Lola	
rima_dany_amigos_Nasheli_4	Nasheli	cola	
rima_dany_amigos_Nasheli_5	Nasheli	Lola	
rima_liebre_tortuga_1	Mujer	Debajo de un botón que tiene Martín se encuentra un ratón que es muy chiquitín	
rima_liebre_tortuga_Nasheli_1	Nasheli	ratón	
rima_liebre_tortuga_Nasheli_2	Nasheli	chiquitín	
rima_liebre_tortuga_2	Mujer	Caracol col col / a la una sale el sol. / Luna, luna, luna, / el sol sale a la una	
rima_liebre_tortuga_Nasheli_3	Nasheli	sol	
rima_liebre_tortuga_Nasheli_4	Nasheli	luna	
rima_integracion_2	Mujer	El ratón Ramón juega con el avión y la oveja Rebeca juega con la muñeca	
rima_integracion_Nasheli_3	Nasheli	avion	
rima_integracion_Nasheli_4	Nasheli	muñeca	
rima_dany_familia_1	Mujer	Dice mamá Carolina que encierres a la gallina y que lleves al corral a cualquier otro animal	
rima_dany_familia_Nasheli_1	Mujer	gallina	
rima_dany_familia_Nasheli_2	Mujer	animal	
rima_dany_familia_2	Mujer	Dice el abuelo Mariano que se agarren de la mano. Dice la abuela Teresa que se toquen la cabeza	
rima_caperucita_roja__1	Mujer	Mi abuela Manuela me lleva a la escuela y mi abuelo Carmelo me da un caramelo	
rima_caperucita_roja__Nasheli_1	Nasheli	escuela	
rima_caperucita_roja__Nasheli_2	Nasheli	caramelo	
rima_caperucita_roja__2	Mujer	A mi hermana Ana le regalé una banana y a mi hermano Juan le regalé un pan	
rima_caperucita_roja__Nasheli_3	Nasheli	banana	
rima_caperucita_roja__Nasheli_4	Nasheli	pan	
